symbol,timeframe,factor,ic,ir,abs_ic,ic_win
SOLUSDT,15min,price_momentum,-0.5079864840673112,-1.3864580884532263,0.5079864840673112,0.9925595238095238
SOLUSDT,15min,bollinger_position,-0.4227902993037192,-1.0932713039722082,0.4227902993037192,0.9836552748885586
SOLUSDT,15min,obv_slope,0.019475026852846394,0.04738484782387338,0.019475026852846394,0.9583333333333334
SOLUSDT,30min,volatility,-0.04662197231833909,-0.11767294932368873,0.04662197231833909,0.975
SOLUSDT,30min,atr_ratio,0.05935011559208837,0.14970368224292127,0.05935011559208837,0.9548762736535662
SOLUSDT,30min,rsi,-0.39246474720722957,-1.1386885748814488,0.39246474720722957,0.9842632331902719
SOLUSDT,30min,volume_ratio,0.05850795253723806,0.31361540359175283,0.05850795253723806,0.927038626609442
SOLUSDT,30min,price_momentum,-0.36970588235294116,-1.1353842796446099,0.36970588235294116,0.986764705882353
SOLUSDT,30min,bollinger_position,-0.3273898572045309,-0.8424772092268644,0.3273898572045309,0.9823788546255506
SOLUSDT,30min,obv_slope,-0.2165743944636678,-0.5660195437640406,0.2165743944636678,0.975
SOLUSDT,1h,volatility,0.02622422819225715,0.0664849345923483,0.02622422819225715,0.9763610315186246
SOLUSDT,1h,atr_ratio,0.12945085450618704,0.34272542257212396,0.12945085450618704,0.9736279401282965
SOLUSDT,1h,rsi,-0.3921247604697069,-1.4508959205127063,0.3921247604697069,0.9802120141342756
SOLUSDT,1h,volume_ratio,-0.0023433141156778887,-0.015166267381537353,0.0023433141156778887,0.8862190812720848
SOLUSDT,1h,price_momentum,-0.32931469073830705,-0.9991679983103459,0.32931469073830705,0.9727793696275072
SOLUSDT,1h,bollinger_position,-0.3500283627645855,-1.1221551927861533,0.3500283627645855,0.9778095919828204
SOLUSDT,1h,obv_slope,0.2124038606545016,0.5770144181113627,0.2124038606545016,0.9613180515759312
SOLUSDT,4h,volatility,-0.05140564956515876,-0.11687505801730919,0.05140564956515876,0.9688532326569136
SOLUSDT,4h,atr_ratio,0.11615038301303587,0.25649701492000887,0.11615038301303587,0.9727187206020697
SOLUSDT,4h,rsi,-0.49654884404650534,-1.58665396547967,0.49654884404650534,0.9873713751169317
SOLUSDT,4h,volume_ratio,0.02049812909260991,0.10720991363852758,0.02049812909260991,0.9186155285313377
SOLUSDT,4h,price_momentum,-0.4162239600889907,-1.1136397395909743,0.4162239600889907,0.9830108541764984
SOLUSDT,4h,bollinger_position,-0.4432054764321529,-1.1784253465833678,0.4432054764321529,0.9830188679245283
SOLUSDT,4h,obv_slope,-0.3118350974179194,-0.7544134346752065,0.3118350974179194,0.9825389334591789
SOLUSDT,1d,volatility,0.04586695355926124,0.10694071323356265,0.04586695355926124,0.9704142011834319
SOLUSDT,1d,atr_ratio,0.18167668906968515,0.41568567572921444,0.18167668906968515,0.9610894941634242
SOLUSDT,1d,rsi,-0.47664477474363404,-1.4986961785711264,0.47664477474363404,0.9771863117870723
SOLUSDT,1d,volume_ratio,0.02954257402926604,0.12132329502670015,0.02954257402926604,0.9182509505703422
SOLUSDT,1d,price_momentum,-0.3238658777120315,-0.8470667836950957,0.3238658777120315,0.980276134122288
SOLUSDT,1d,bollinger_position,-0.4475160292694184,-1.3311467582234788,0.4475160292694184,0.9803149606299213
SOLUSDT,1d,obv_slope,0.07988763373378759,0.17816849709634816,0.07988763373378759,0.9684418145956607
ADAUSDT,5min,volatility,0.2716016238868517,0.6953503629102534,0.2716016238868517,0.9804216867469879
ADAUSDT,5min,atr_ratio,0.31277133415408537,0.8361927650068244,0.31277133415408537,0.9672131147540983
ADAUSDT,5min,rsi,-0.4761401182413237,-1.7359538162051082,0.4761401182413237,0.9824304538799414
ADAUSDT,5min,volume_ratio,0.03746260105671908,0.3158903518308358,0.03746260105671908,0.8755490483162518
ADAUSDT,5min,price_momentum,-0.46076348873755896,-1.4160446975195813,0.46076348873755896,0.9804216867469879
ADAUSDT,5min,bollinger_position,-0.45761791956099523,-1.4953443017645345,0.45761791956099523,0.9849624060150376
ADAUSDT,5min,obv_slope,0.30371660555264535,0.7746295272424961,0.30371660555264535,0.9774096385542169
ADAUSDT,15min,volatility,-0.07614348370927318,-0.17594639935726725,0.07614348370927318,0.9732142857142857
ADAUSDT,15min,atr_ratio,0.10848771413068752,0.24193461972889013,0.10848771413068752,0.9823269513991163
ADAUSDT,15min,rsi,-0.4783316173543214,-1.5337919338956356,0.4783316173543214,0.9869753979739508
ADAUSDT,15min,volume_ratio,-0.006674428473499233,-0.050515174206195154,0.006674428473499233,0.8480463096960926
ADAUSDT,15min,price_momentum,-0.4250738453276047,-1.1894705346212462,0.4250738453276047,0.9821428571428571
ADAUSDT,15min,bollinger_position,-0.4570166207722393,-1.2818185092868188,0.4570166207722393,0.986627043090639
ADAUSDT,15min,obv_slope,0.1923469387755102,0.43611153304466277,0.1923469387755102,0.9732142857142857
ADAUSDT,30min,volatility,-0.05195934256055363,-0.12186668170061664,0.05195934256055363,0.9661764705882353
ADAUSDT,30min,atr_ratio,0.21167480092473673,0.5579414241555353,0.21167480092473673,0.9606986899563319
ADAUSDT,30min,rsi,-0.41984347387023485,-1.2945963544744974,0.41984347387023485,0.9856938483547926
ADAUSDT,30min,volume_ratio,-0.03577379449633931,-0.21090559249525892,0.03577379449633931,0.9055793991416309
ADAUSDT,30min,price_momentum,-0.4285380622837371,-1.3217926565744622,0.4285380622837371,0.9735294117647059
ADAUSDT,30min,bollinger_position,-0.3712756719688282,-1.019920131050335,0.3712756719688282,0.9794419970631424
ADAUSDT,30min,obv_slope,-0.006669550173010396,-0.014900245864847514,0.006669550173010396,0.975
ADAUSDT,1h,volatility,-0.0646121033242131,-0.1794774897895511,0.0646121033242131,0.9563037249283668
ADAUSDT,1h,atr_ratio,0.19086168736166864,0.5326965354080682,0.19086168736166864,0.9722024233784747
