symbol,timeframe,factor,forward_period,ic,ic_std,ir,abs_ic
ADAUSDT,4h,volume_ratio,1,-0.026845858165189907,,0.0,0.026845858165189907
ADAUSDT,4h,volume_ratio,6,-0.009085576263317824,,0.0,0.009085576263317824
ADAUSDT,4h,volume_ratio,24,-0.00907935230568248,,0.0,0.00907935230568248
ADAUSDT,4h,volume_ma_ratio,1,-0.035215224680792225,,0.0,0.035215224680792225
ADAUSDT,4h,volume_ma_ratio,6,-0.027788286084025258,,0.0,0.027788286084025258
ADAUSDT,4h,volume_ma_ratio,24,-0.0773224656919363,,0.0,0.0773224656919363
ADAUSDT,4h,price_momentum,1,-0.001006109965647538,,0.0,0.001006109965647538
ADAUSDT,4h,price_momentum,6,0.02215152806524894,,0.0,0.02215152806524894
ADAUSDT,4h,price_momentum,24,-0.18914965845906329,,0.0,0.18914965845906329
ADAUSDT,4h,volatility,1,-0.06060711667648085,,0.0,0.06060711667648085
ADAUSDT,4h,volatility,6,-0.18774640503642848,,0.0,0.18774640503642848
ADAUSDT,4h,volatility,24,-0.34965649222805056,,0.0,0.34965649222805056
ADAUSDT,4h,atr_ratio,1,-0.04719491819786911,,0.0,0.04719491819786911
ADAUSDT,4h,atr_ratio,6,-0.18914766372903905,,0.0,0.18914766372903905
ADAUSDT,4h,atr_ratio,24,-0.3153186741814339,,0.0,0.3153186741814339
ADAUSDT,4h,rsi,1,0.004970333546805775,,0.0,0.004970333546805775
ADAUSDT,4h,rsi,6,0.058335146845337096,,0.0,0.058335146845337096
ADAUSDT,4h,rsi,24,-0.09185760986353649,,0.0,0.09185760986353649
ADAUSDT,4h,kdj_j,1,-0.03151725600308591,,0.0,0.03151725600308591
ADAUSDT,4h,kdj_j,6,0.028667996414205074,,0.0,0.028667996414205074
ADAUSDT,4h,kdj_j,24,-0.0005838529736900839,,0.0,0.0005838529736900839
ADAUSDT,4h,bollinger_position,1,-0.0006822294031315281,,0.0,0.0006822294031315281
ADAUSDT,4h,bollinger_position,6,0.07948909591873468,,0.0,0.07948909591873468
ADAUSDT,4h,bollinger_position,24,-0.08301789903233094,,0.0,0.08301789903233094
ADAUSDT,4h,obv_slope,1,0.02508090253754994,,0.0,0.02508090253754994
ADAUSDT,4h,obv_slope,6,-0.01278852881261873,,0.0,0.01278852881261873
ADAUSDT,4h,obv_slope,24,0.13327698350415296,,0.0,0.13327698350415296
ADAUSDT,1d,volume_ratio,1,-0.1311331055616217,,0.0,0.1311331055616217
ADAUSDT,1d,volume_ratio,3,-0.18267842822774658,,0.0,0.18267842822774658
ADAUSDT,1d,volume_ratio,7,-0.09905203469705381,,0.0,0.09905203469705381
ADAUSDT,1d,volume_ma_ratio,1,-0.24073134458927475,,0.0,0.24073134458927475
ADAUSDT,1d,volume_ma_ratio,3,-0.08489521700958125,,0.0,0.08489521700958125
ADAUSDT,1d,volume_ma_ratio,7,-0.08914835164835164,,0.0,0.08914835164835164
ADAUSDT,1d,price_momentum,1,0.04347826086956522,,0.0,0.04347826086956522
ADAUSDT,1d,price_momentum,3,-0.03124750578657515,,0.0,0.03124750578657515
ADAUSDT,1d,price_momentum,7,0.16105030721966204,,0.0,0.16105030721966204
ADAUSDT,1d,volatility,1,-0.10928023383266353,,0.0,0.10928023383266353
ADAUSDT,1d,volatility,3,-0.1967834623673079,,0.0,0.1967834623673079
ADAUSDT,1d,volatility,7,-0.34610215053763443,,0.0,0.34610215053763443
ADAUSDT,1d,atr_ratio,1,-0.03346548188653452,,0.0,0.03346548188653452
ADAUSDT,1d,atr_ratio,3,-0.16111069974083672,,0.0,0.16111069974083672
ADAUSDT,1d,atr_ratio,7,-0.279468113025982,,0.0,0.279468113025982
ADAUSDT,1d,rsi,1,0.02435631009827058,,0.0,0.02435631009827058
ADAUSDT,1d,rsi,3,-0.03955846973913864,,0.0,0.03955846973913864
ADAUSDT,1d,rsi,7,-0.028134217085142743,,0.0,0.028134217085142743
ADAUSDT,1d,kdj_j,1,-0.03491204092543736,,0.0,0.03491204092543736
ADAUSDT,1d,kdj_j,3,-0.11594983255511115,,0.0,0.11594983255511115
ADAUSDT,1d,kdj_j,7,-0.056823675754630425,,0.0,0.056823675754630425
ADAUSDT,1d,bollinger_position,1,-0.0509863960944464,,0.0,0.0509863960944464
ADAUSDT,1d,bollinger_position,3,-0.0755084317972163,,0.0,0.0755084317972163
ADAUSDT,1d,bollinger_position,7,0.13753076549344473,,0.0,0.13753076549344473
ADAUSDT,1d,obv_slope,1,-0.03233467299963464,,0.0,0.03233467299963464
ADAUSDT,1d,obv_slope,3,-0.15795354776917553,,0.0,0.15795354776917553
ADAUSDT,1d,obv_slope,7,-0.10315860215053765,,0.0,0.10315860215053765
XRPUSDT,5min,volume_ratio,12,-0.0012974424410650838,,0.0,0.0012974424410650838
XRPUSDT,5min,volume_ratio,24,0.0005378399978482044,,0.0,0.0005378399978482044
XRPUSDT,5min,volume_ratio,48,0.0016519483605940202,,0.0,0.0016519483605940202
XRPUSDT,5min,volume_ma_ratio,12,0.00132595820108451,,0.0,0.00132595820108451
XRPUSDT,5min,volume_ma_ratio,24,-0.0011060557842218195,,0.0,0.0011060557842218195
XRPUSDT,5min,volume_ma_ratio,48,-0.0022210135279167914,,0.0,0.0022210135279167914
XRPUSDT,5min,price_momentum,12,0.015696221158534862,,0.0,0.015696221158534862
XRPUSDT,5min,price_momentum,24,0.02781890207432152,,0.0,0.02781890207432152
XRPUSDT,5min,price_momentum,48,0.016999719700599897,,0.0,0.016999719700599897
XRPUSDT,5min,volatility,12,0.01984166386034935,,0.0,0.01984166386034935
XRPUSDT,5min,volatility,24,0.0177085648629574,,0.0,0.0177085648629574
XRPUSDT,5min,volatility,48,0.01547001666032657,,0.0,0.01547001666032657
XRPUSDT,5min,atr_ratio,12,0.008275295190241725,,0.0,0.008275295190241725
XRPUSDT,5min,atr_ratio,24,0.011403400321587806,,0.0,0.011403400321587806
XRPUSDT,5min,atr_ratio,48,0.011131680076366965,,0.0,0.011131680076366965
XRPUSDT,5min,rsi,12,0.001277150324445694,,0.0,0.001277150324445694
XRPUSDT,5min,rsi,24,0.019277004586669984,,0.0,0.019277004586669984
XRPUSDT,5min,rsi,48,0.013985253754530629,,0.0,0.013985253754530629
XRPUSDT,5min,kdj_j,12,-0.01190699598329592,,0.0,0.01190699598329592
XRPUSDT,5min,kdj_j,24,0.004908284263995168,,0.0,0.004908284263995168
XRPUSDT,5min,kdj_j,48,0.008485460705581076,,0.0,0.008485460705581076
XRPUSDT,5min,bollinger_position,12,-0.0040193225633614075,,0.0,0.0040193225633614075
XRPUSDT,5min,bollinger_position,24,0.014905924831980033,,0.0,0.014905924831980033
XRPUSDT,5min,bollinger_position,48,0.01375625209085063,,0.0,0.01375625209085063
XRPUSDT,5min,obv_slope,12,-0.006474086785252653,,0.0,0.006474086785252653
XRPUSDT,5min,obv_slope,24,-0.005974687653937197,,0.0,0.005974687653937197
XRPUSDT,5min,obv_slope,48,-0.009422085866729499,,0.0,0.009422085866729499
XRPUSDT,15min,volume_ratio,4,0.01007674754002763,,0.0,0.01007674754002763
XRPUSDT,15min,volume_ratio,8,0.0006575030904980046,,0.0,0.0006575030904980046
XRPUSDT,15min,volume_ratio,16,-0.001273103093581683,,0.0,0.001273103093581683
XRPUSDT,15min,volume_ma_ratio,4,0.020287122385682498,,0.0,0.020287122385682498
XRPUSDT,15min,volume_ma_ratio,8,0.016369927439358563,,0.0,0.016369927439358563
XRPUSDT,15min,volume_ma_ratio,16,0.003597925106806978,,0.0,0.003597925106806978
XRPUSDT,15min,price_momentum,4,-0.008872605711187075,,0.0,0.008872605711187075
XRPUSDT,15min,price_momentum,8,-0.0006885007112080735,,0.0,0.0006885007112080735
XRPUSDT,15min,price_momentum,16,0.019841647471059275,,0.0,0.019841647471059275
XRPUSDT,15min,volatility,4,0.0045696991040272755,,0.0,0.0045696991040272755
XRPUSDT,15min,volatility,8,0.01333702635178127,,0.0,0.01333702635178127
XRPUSDT,15min,volatility,16,0.016088927005475095,,0.0,0.016088927005475095
XRPUSDT,15min,atr_ratio,4,0.008921034400630563,,0.0,0.008921034400630563
XRPUSDT,15min,atr_ratio,8,0.01762955097394611,,0.0,0.01762955097394611
XRPUSDT,15min,atr_ratio,16,0.03746601944951868,,0.0,0.03746601944951868
XRPUSDT,15min,rsi,4,-0.015145066783382023,,0.0,0.015145066783382023
