symbol,pnl,win_rate,trades,sharpe,max_dd,pnl_pct,pnl_bin
RSRUSDT,-3253.2482089948608,0.2857142857142857,28,-0.5031923415822847,0.4005365508620236,-32.53248208994861,-50~-20%
STORJUSDT,-2586.7672261415137,0.2692307692307692,26,-0.4353569163980554,0.40269800122572275,-25.867672261415137,-50~-20%
CTSIUSDT,-1799.7344299911947,0.36,25,-0.14454608331240262,0.31042649892697766,-17.997344299911948,-20~-10%
COTIUSDT,370.40738422008815,0.2727272727272727,22,0.07940291992238019,0.292099277869745,3.704073842200881,0~10%
REQUSDT,235.57961255682335,0.3333333333333333,24,0.10525348502140493,0.4768904036441033,2.3557961255682334,0~10%
ANKRUSDT,-1898.415572673661,0.4,25,-0.08395675785363785,0.44788235699010154,-18.98415572673661,-20~-10%
CVCUSDT,-590.150355022416,0.5,20,-0.07245566793618018,0.3510630790671094,-5.9015035502241595,-10~0%
IOTXUSDT,3037.073793173408,0.5238095238095238,21,0.24549044245984752,0.416535171241473,30.370737931734084,20~50%
OGNUSDT,19116.507109498547,0.4782608695652174,23,0.7388787170109702,0.25398931121737733,191.16507109498545,>100%
NKNUSDT,1218.9490542687777,0.5,24,0.22393877683172164,0.1806547082866701,12.189490542687777,10~20%
NUUSDT,-2750.5337639267905,0.34615384615384615,26,-0.2520743882434455,0.34966114743887994,-27.505337639267907,-50~-20%
CTXCUSDT,-445.4398240033461,0.5789473684210527,19,-0.07625057419569409,0.16413844490928262,-4.454398240033461,-10~0%
AIONUSDT,-1758.3623415410382,0.3,20,-0.2874748851965913,0.18489746162961457,-17.583623415410383,-20~-10%
KEYUSDT,-2487.619867940655,0.42105263157894735,19,-0.19625152615399763,0.31755918591299476,-24.876198679406546,-50~-20%
QLCUSDT,2185.79077695408,0.45161290322580644,31,0.20982942083084216,0.2518390463672974,21.857907769540795,20~50%
DOCKUSDT,2486.5348450368047,0.5517241379310345,29,0.27302066321650215,0.21217521519294932,24.865348450368046,20~50%
POLYUSDT,22910.376454531783,0.38461538461538464,26,0.6792497289391448,0.47360632776774525,229.10376454531783,>100%
VITEUSDT,-4661.558266635089,0.25806451612903225,31,-0.33971120186022374,0.608286935761039,-46.61558266635089,-50~-20%
BNTUSDT,-3295.9495385086384,0.2916666666666667,24,-0.241201725229525,0.5210484072298358,-32.959495385086385,-50~-20%
AMPUSDT,-3149.328336292256,0.36363636363636365,22,-0.2894757761042564,0.4121311570516112,-31.493283362922565,-50~-20%
GTCUSDT,-6164.714836424332,0.3103448275862069,29,-0.43105121845152156,0.7036495860417437,-61.64714836424332,<-50%
MASKUSDT,-1254.5896786664252,0.5,12,-0.3831291463166622,0.1886423622588404,-12.545896786664251,-20~-10%
FORTHUSDT,4863.870928886173,0.5238095238095238,21,0.6175666194636829,0.11769245843194176,48.638709288861726,20~50%
TRIBEUSDT,-5605.197777398859,0.21428571428571427,28,-0.5637922672736552,0.6023406903978192,-56.05197777398859,<-50%
PUNDIXUSDT,-4455.555105386945,0.23076923076923078,26,-0.666639008226955,0.47021665928270234,-44.55555105386944,-50~-20%
TLMUSDT,1734.514116864636,0.47058823529411764,17,0.35782790113951607,0.10041193224682878,17.34514116864636,10~20%
MBOXUSDT,-1831.6383688203507,0.36363636363636365,33,-0.20694308834050015,0.27599304854509127,-18.31638368820351,-20~-10%
ALPACAUSDT,1722.0489437580627,0.5555555555555556,18,0.2093402675874694,0.32662656662607464,17.22048943758063,10~20%
FORTEUSDT,-3604.774296219904,0.3157894736842105,19,-0.43875292151075185,0.51103536271659,-36.047742962199045,-50~-20%
DEXEUSDT,84.79536139834914,0.5,12,0.029780005671420424,0.13029878051479202,0.8479536139834913,0~10%
PERPUSDT,-2597.487801071328,0.2,20,-0.1843384281621044,0.32662290808530337,-25.974878010713276,-50~-20%
FLUXUSDT,-6825.277985125464,0.23529411764705882,34,-0.48968931709832103,0.7573414649066073,-68.25277985125464,<-50%
USTUSDT,-1046.5136240051017,0.2631578947368421,19,-0.08427039887004412,0.3527061200703118,-10.465136240051018,-20~-10%
JOEUSDT,-4645.862373999545,0.3333333333333333,24,-0.28087879284751743,0.605535269104601,-46.458623739995446,-50~-20%
RAYUSDT,1849.25104366012,0.42857142857142855,21,0.21888093490007396,0.2210982524120991,18.4925104366012,10~20%
SRMUSDT,-2123.584396634248,0.15789473684210525,19,-0.6527295271053872,0.23340018348426167,-21.235843966342483,-50~-20%
FIDAUSDT,2751.885507948888,0.41379310344827586,29,0.25148731068101193,0.3688008625955497,27.51885507948888,20~50%
STEPUSDT,1898.6110465787929,0.2962962962962963,27,0.19581704684714127,0.5553364410601493,18.986110465787927,10~20%
ORCAUSDT,1375.9031799362492,0.47619047619047616,21,0.16628020246365555,0.3739845390021848,13.759031799362493,10~20%
MNDEUSDT,-1053.0835534119403,0.35,20,-0.014525818942533703,0.39244896245858096,-10.530835534119404,-20~-10%
SLIMUSDT,49.01561174044167,0.42424242424242425,33,0.09152848516674965,0.4143657093461806,0.49015611740441667,0~10%
LIKEUSDT,1012.0825116208514,0.36363636363636365,22,0.15411173055560026,0.37045712062075203,10.120825116208513,10~20%
MEDIAUSDT,-2837.1667563677165,0.28,25,-0.23656525506269863,0.38120058667637,-28.371667563677168,-50~-20%
ROOKUSDT,-2059.107258060396,0.36363636363636365,22,-0.17884745353493972,0.3254398257504961,-20.59107258060396,-50~-20%
C98USDT,10171.878892942303,0.42105263157894735,19,0.5214050886038507,0.2867015464996889,101.71878892942303,>100%
INJUSDT,-505.2586208688243,0.3333333333333333,18,-0.03163571299664801,0.3438362768978184,-5.052586208688243,-10~0%
